Source,Number,Content,Time,ConversationID,SIMCardID,Local,Reserved

From,+48882723907,"Dobry den, mate zmeskany hovor od cisla +48882723907 ze dne 25.09.2024 17:52.T-Mobile. Missed call notification from +48882723907 25.09.2024 17:52. T-Mobile.",2024/09/25 17:53:17,5,0,,
From,80180,"Jak latwo bylo uzyskac pomoc?\n5= Bardzo latwo\n4= Latwo\n3= Ani latwo, ani trudno\n2= Trudno\n1= Bardzo trudno\nOdeslij cyfre.",2024/09/25 14:33:30,31,1,,
From,RedBullM,"Twoja Subskrypcja Red Bull MOBILE jest nieaktywna. Wróć do nas! Zapewnij środki na karcie płatniczej i wznów Subskrypcję w aplikacji Red Bull MOBILE www.redbullmobile.pl/app",2024/09/25 08:01:12,25,1,,
From,RedBullM,"Twoja Subskrypcja Red Bull MOBILE jest nieaktywna. Wróć do nas! Zapewnij środki na karcie płatniczej i wznów Subskrypcję w aplikacji Red Bull MOBILE www.redbullmobile.pl/app",2024/09/14 08:00:50,25,1,,
From,RedBullM,"Nie udało się nam pobrać opłaty za Subskrypcję Red Bull MOBILE. Sprawdź szczegóły w e-mailu.",2024/09/11 08:00:29,25,1,,
From,RedBullM,"Nie udało się nam pobrać opłaty za Subskrypcję Red Bull MOBILE. Sprawdź szczegóły w e-mailu.",2024/09/10 08:02:20,25,1,,
From,RedBullM,"Przypominam, że jutro nastąpi pobranie opłaty cyklicznej za Twoją Subskrypcję Red Bull MOBILE. Zapewnij środki na karcie.",2024/09/09 08:01:10,25,1,,
From,RedBullM,"Przypominam, że już wkrótce nastąpi pobranie opłaty cyklicznej za Twoją Subskrypcję Red Bull MOBILE. Zapewnij środki na karcie.",2024/09/07 08:01:03,25,1,,
From,RedBullM,"Informujemy, że bezpłatny nr. Alarmowy to 112 dostępny we wszystkich krajach UE. Inne sposoby dostępu do służb ratunkowych dostępne są pod bezpłatnym linkiem: https://www.t-mobile.pl/roaming-numery-alarmowe  Informacje o systemach przekazywania ostrzeżeń publicznych dostępne są pod bezpłatnym linkiem: https://www.t-mobile.pl/roaming-ostrzezenia-publiczne",2024/08/15 17:09:47,25,1,,
From,RedBullM,"Zgodnie z regulacjami UE korzystanie z roamingu może podlegać dodatkowym opłatom w przypadku niestandardowego korzystania:  0,11 zł za minutę połączenia wykonanego, 0,11 zł za 10 minut połączenia odebranego, 0,12 zł za 10 sztuk wysłanych SMS, 0,07 zł za 10 sztuk wysłanych MMS, 8,45 zł za 1 GB transmisji danych. Ceny brutto. Więcej o Polityce Uczciwego Korzystania na www.t-mobile.pl/regulacje W roamingu możesz korzystać z usług Premium. Przypominamy, że usługi te mogą podlegać podwyższonym opłatom. Spis tych usług w strefie 1A znajdziesz pod bezpłatnym linkiem: https://www.t-mobile.pl/roaming-specjalne Przy korzystaniu z VoWiFi za granicą połączenia na numery krajowe będą rozliczane jak w Polsce, a na numery zagraniczne jak połączenia międzynarodowe z Polski. Szczegóły usługi znajdziesz na www.t-mobile.pl/c/volte-i-wifi",2024/08/15 17:09:15,25,1,,
From,RedBullM,"Red Bull MOBILE wita w kraju Czechy! Bezpłatnie korzystasz z SMS, MMS oraz połączeń wewnątrz Strefy 1A, w tym do Polski. Połączenia do pozostałych stref: do Strefy 1B: 0,99 zł za minutę, Strefy 2 i 3 : 4,90 zł za minutę. Transmisja Danych w ramach Twojego miesięcznego Limitu Danych UE jest bezpłatna. Po jego wykorzystaniu korzystaj dalej z Internetu w cenie  8,45 zł za 1 GB. Limit Danych i zużycie sprawdzisz bezpłatnie w aplikacji Red Bull MOBILE. Więcej szczegółów Biurze Obsługi pod bezpłatnym numerem +48604555555 oraz w aplikacji i na www.t-mobile.pl Życzymy udanego wyjazdu!",2024/08/15 16:37:11,25,1,,
From,RedBullM,"Subskrypcja Red Bull MOBILE została odnowiona. Jest ważna do 10.09.2024 i odnawia się co 30 dni. Zarządzaj swoją Subskrypcją w aplikacji Red Bull MOBILE www.redbullmobile.pl/app",2024/08/12 08:01:17,25,1,,
